"countyfips","gps_workplaces"
39021,-0.184
39023,-0.0986
39025,-0.2
39027,-0.166
39029,-0.0543
39031,-0.146
39033,-0.113
39035,-0.191
39037,-0.116
39039,-0.0786
39041,-0.25
39043,-0.104
39045,-0.236
39047,0.0714
39049,-0.243
39051,-0.194
39053,-0.05
39055,-0.196
39057,-0.146
39059,0.117
39061,-0.216
39063,-0.171
39065,-0.23
39067,NA
39069,-0.161
39071,-0.149
39073,-0.179
39075,-0.0443
39077,-0.196
39079,-0.0743
39081,-0.14
39083,-0.16
39085,-0.174
39087,-0.211
39089,-0.226
39091,-0.204
39093,-0.176
39095,-0.139
39097,-0.206
39099,-0.186
39101,-0.109
39103,-0.0814
39105,-0.11
39107,-0.21
39109,-0.0714
